                  epoch,             train/loss,               val/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,                   lr/0
                      0,                 1.9113,                 1.8095,                 0.4691,                0.93839,              0.0009967
                      1,                 1.6545,                 1.5031,                0.56775,                0.95226,              0.0009934
                      2,                 1.5714,                 1.4068,                0.58221,                0.98257,              0.0009901
                      3,                 1.5272,                 1.2458,                0.65333,                0.98435,              0.0009868
                      4,                 1.5067,                 1.2002,                0.66521,                0.99109,              0.0009835
                      5,                 1.4732,                 1.1094,                0.71177,                0.99485,              0.0009802
                      6,                 1.4304,                 1.1535,                0.68899,                0.99426,              0.0009769
                      7,                 1.4243,                 1.1635,                0.68007,                0.99307,              0.0009736
                      8,                  1.409,                 1.1412,                0.70741,                0.99525,              0.0009703
                      9,                 1.3901,                  1.136,                0.69869,                0.99525,               0.000967
                     10,                 1.3825,                 1.1266,                0.70741,                0.99386,              0.0009637
                     11,                 1.3755,                 1.0888,                0.73059,                0.99544,              0.0009604
                     12,                 1.3493,                 1.0884,                0.70781,                0.99485,              0.0009571
                     13,                 1.3551,                 1.0935,                0.73316,                0.99406,              0.0009538
                     14,                 1.3416,                 1.0434,                0.75158,                0.99742,              0.0009505
                     15,                 1.3403,                 1.0676,                0.74326,                0.99564,              0.0009472
                     16,                 1.3349,                 1.0176,                0.75198,                0.99544,              0.0009439
                     17,                 1.3124,                 1.0076,                0.76842,                0.99703,              0.0009406
                     18,                 1.2929,                 1.0231,                0.75773,                0.99465,              0.0009373
                     19,                 1.2805,                0.99628,                0.76486,                0.99683,               0.000934
                     20,                 1.3104,                0.99576,                0.77298,                0.99742,              0.0009307
                     21,                 1.2787,                 1.0542,                0.73752,                0.99663,              0.0009274
                     22,                 1.2931,                0.96398,                0.78903,                0.99683,              0.0009241
                     23,                 1.2758,                0.94336,                0.79972,                0.99861,              0.0009208
                     24,                  1.281,                0.94866,                0.80071,                0.99842,              0.0009175
                     25,                 1.2771,                0.93197,                0.80666,                0.99822,              0.0009142
                     26,                 1.2475,                0.99315,                0.77635,                0.99703,              0.0009109
                     27,                 1.2442,                0.98494,                0.78744,                0.99445,              0.0009076
