                  epoch,             train/loss,               val/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,                   lr/0
                      0,                 2.0534,                 4.9348,                0.19383,                0.67207,              0.0009967
                      1,                 1.8351,                 2.9692,                0.38687,                0.82872,              0.0009934
                      2,                 1.7253,                 1.7751,                0.52057,                0.95847,              0.0009901
                      3,                 1.6846,                 1.6074,                0.53797,                0.93671,              0.0009868
                      4,                 1.6456,                 1.5143,                0.51503,                0.96479,              0.0009835
                      5,                 1.5967,                 1.4498,                0.58544,                0.94937,              0.0009802
                      6,                  1.547,                 1.5654,                0.51464,                0.94343,              0.0009769
                      7,                 1.5297,                 1.4464,                0.56764,                0.97429,              0.0009736
                      8,                 1.5161,                 1.2766,                0.63647,                0.98616,              0.0009703
                      9,                 1.4945,                 1.3655,                0.59454,                0.97903,               0.000967
                     10,                 1.4758,                  1.191,                0.67366,                0.98853,              0.0009637
                     11,                 1.4773,                 1.2062,                0.66456,                0.99209,              0.0009604
                     12,                 1.4272,                 1.2414,                0.65902,                0.98813,              0.0009571
                     13,                 1.4104,                 1.2681,                0.65941,                0.98418,              0.0009538
                     14,                  1.403,                 1.1204,                0.72864,                0.99446,              0.0009505
                     15,                 1.3612,                 1.2173,                0.69066,                0.98418,              0.0009472
                     16,                 1.3584,                   1.13,                0.72191,                0.99446,              0.0009439
                     17,                 1.3737,                 1.1246,                0.71915,                0.98972,              0.0009406
                     18,                 1.3067,                  1.194,                0.69699,                0.99367,              0.0009373
                     19,                 1.3495,                 1.0969,                0.72666,                0.99525,               0.000934
                     20,                 1.3072,                 1.0654,                0.74723,                0.99525,              0.0009307
                     21,                 1.2794,                 1.0927,                0.72508,                0.99723,              0.0009274
                     22,                 1.3056,                 1.0264,                0.78085,                0.99288,              0.0009241
                     23,                 1.2638,                 1.0208,                0.77017,                0.99802,              0.0009208
                     24,                 1.2701,                 1.0152,                0.77057,                0.99684,              0.0009175
                     25,                 1.2486,                0.94564,                0.81566,                0.99881,              0.0009142
                     26,                 1.2216,                 1.1301,                0.71954,                0.99407,              0.0009109
                     27,                 1.2387,                0.99211,                0.79312,                0.99328,              0.0009076
                     28,                 1.2049,                0.97515,                0.79747,                0.99565,              0.0009043
                     29,                 1.2184,                 0.9868,                  0.786,                0.99684,               0.000901
                     30,                 1.2145,                0.92839,                0.82239,                0.99763,              0.0008977
                     31,                 1.1582,                0.90305,                 0.8485,                0.99921,              0.0008944
                     32,                  1.179,                0.83343,                0.87025,                0.99881,              0.0008911
                     33,                 1.1652,                0.87729,                0.84217,                0.99763,              0.0008878
                     34,                 1.1335,                0.89708,                0.82753,                 0.9996,              0.0008845
                     35,                   1.14,                0.88598,                0.84256,                      1,              0.0008812
                     36,                 1.1368,                0.92083,                0.82437,                0.99842,              0.0008779
                     37,                 1.1199,                0.78209,                0.89517,                0.99881,              0.0008746
                     38,                 1.1064,                0.83739,                0.87935,                0.99881,              0.0008713
                     39,                  1.107,                0.83711,                0.87856,                      1,               0.000868
                     40,                 1.1009,                 0.8214,                0.87342,                0.99842,              0.0008647
                     41,                 1.0951,                0.89585,                0.84573,                0.99763,              0.0008614
                     42,                 1.0787,                0.79727,                0.88528,                0.99921,              0.0008581
                     43,                   1.09,                  0.752,                0.91416,                 0.9996,              0.0008548
                     44,                 1.0704,                0.78775,                0.89755,                0.99881,              0.0008515
                     45,                 1.0409,                0.73003,                0.91772,                0.99881,              0.0008482
                     46,                 1.0599,                0.80302,                0.89517,                0.99604,              0.0008449
                     47,                0.99243,                0.75519,                0.91495,                0.99842,              0.0008416
                     48,                0.99123,                0.80819,                0.88331,                0.99881,              0.0008383
                     49,                 1.0214,                0.82019,                0.87737,                0.99842,               0.000835
                     50,                0.99888,                0.72754,                0.93196,                0.99842,              0.0008317
                     51,                 1.0002,                0.70058,                 0.9371,                0.99842,              0.0008284
                     52,                 1.0045,                0.69854,                0.94066,                      1,              0.0008251
                     53,                0.99012,                0.67877,                0.95293,                0.99842,              0.0008218
                     54,                0.98152,                0.69001,                0.94778,                0.99921,              0.0008185
                     55,                 1.0044,                0.70154,                0.93078,                0.99842,              0.0008152
                     56,                0.99813,                0.77773,                0.90823,                0.99723,              0.0008119
                     57,                0.98458,                0.71717,                0.92682,                0.99921,              0.0008086
                     58,                 1.0065,                0.64812,                0.95767,                0.99881,              0.0008053
                     59,                0.97496,                0.72184,                0.93473,                0.99802,               0.000802
                     60,                0.96346,                0.67223,                0.94858,                0.99921,              0.0007987
                     61,                0.95259,                0.69241,                 0.9375,                0.99881,              0.0007954
                     62,                0.94366,                0.69831,                0.93315,                0.99881,              0.0007921
                     63,                 0.9359,                0.67771,                0.95293,                0.99842,              0.0007888
                     64,                0.94857,                0.68123,                0.94225,                0.99842,              0.0007855
                     65,                0.95523,                0.68221,                 0.9466,                0.99881,              0.0007822
                     66,                0.93062,                0.69227,                0.93987,                0.99881,              0.0007789
                     67,                0.94915,                0.70056,                0.93434,                0.99802,              0.0007756
                     68,                0.93824,                0.63471,                0.96361,                0.99921,              0.0007723
                     69,                 0.8948,                0.61563,                0.97468,                0.99842,               0.000769
                     70,                0.93065,                0.72318,                0.93434,                0.99802,              0.0007657
                     71,                0.90208,                0.65285,                0.96123,                0.99881,              0.0007624
                     72,                0.93395,                0.66365,                0.95214,                0.99842,              0.0007591
                     73,                0.91705,                0.64422,                  0.964,                      1,              0.0007558
                     74,                0.90739,                0.64745,                 0.9644,                0.99842,              0.0007525
                     75,                0.89053,                0.64977,                 0.9557,                0.99881,              0.0007492
                     76,                0.89583,                0.62977,                0.97191,                0.99802,              0.0007459
                     77,                0.88846,                0.63166,                  0.964,                0.99881,              0.0007426
                     78,                0.91777,                 0.6245,                0.97112,                0.99881,              0.0007393
                     79,                0.89488,                0.72517,                0.91772,                0.99881,               0.000736
                     80,                0.88907,                0.63509,                0.96598,                0.99842,              0.0007327
                     81,                0.87223,                 0.6244,                0.97191,                0.99881,              0.0007294
                     82,                0.86942,                0.63572,                0.96756,                0.99921,              0.0007261
                     83,                0.88375,                0.65575,                0.95807,                0.99802,              0.0007228
                     84,                0.91516,                0.61437,                 0.9735,                0.99842,              0.0007195
                     85,                0.87188,                0.60241,                0.97785,                0.99842,              0.0007162
                     86,                0.88467,                0.61956,                0.96835,                0.99842,              0.0007129
                     87,                 0.8825,                0.60495,                0.97666,                0.99921,              0.0007096
                     88,                0.87452,                0.61513,                0.97389,                0.99921,              0.0007063
                     89,                0.84162,                 0.6237,                0.97983,                0.99842,               0.000703
                     90,                0.87155,                0.61867,                0.97429,                      1,              0.0006997
                     91,                0.83683,                0.59805,                 0.9818,                0.99881,              0.0006964
                     92,                0.85657,                0.58554,                0.98339,                0.99921,              0.0006931
                     93,                0.84464,                0.63285,                0.95886,                0.99802,              0.0006898
                     94,                0.86893,                0.63132,                0.96361,                0.99881,              0.0006865
                     95,                0.83309,                0.60745,                 0.9735,                0.99842,              0.0006832
                     96,                0.83517,                0.60296,                0.97785,                0.99842,              0.0006799
                     97,                0.84938,                0.61857,                0.97033,                0.99921,              0.0006766
                     98,                0.83842,                0.59076,                0.98418,                0.99842,              0.0006733
                     99,                0.82605,                0.59064,                0.98339,                0.99881,                0.00067
                    100,                0.82671,                0.58461,                0.98339,                0.99881,              0.0006667
                    101,                0.82995,                0.60779,                0.97547,                0.99842,              0.0006634
                    102,                0.85015,                0.59566,                0.98101,                0.99881,              0.0006601
                    103,                0.83043,                0.62147,                0.96756,                0.99842,              0.0006568
                    104,                0.81566,                0.59404,                0.98101,                0.99842,              0.0006535
                    105,                0.83008,                0.59519,                 0.9818,                0.99842,              0.0006502
                    106,                0.82228,                0.58609,                0.98378,                0.99921,              0.0006469
                    107,                0.83669,                0.59607,                0.97943,                      1,              0.0006436
                    108,                0.80833,                0.57848,                0.98813,                0.99842,              0.0006403
                    109,                0.82525,                0.58866,                0.98536,                0.99842,               0.000637
                    110,                0.82212,                 0.5736,                0.98813,                0.99842,              0.0006337
                    111,                0.82435,                0.58337,                0.98457,                0.99881,              0.0006304
                    112,                0.80631,                0.58016,                0.98932,                0.99921,              0.0006271
                    113,                0.79663,                0.56451,                0.99209,                0.99881,              0.0006238
                    114,                0.82036,                0.57481,                0.99011,                0.99921,              0.0006205
                    115,                0.82312,                0.56646,                0.98734,                0.99842,              0.0006172
                    116,                0.82667,                0.62691,                0.96756,                0.99842,              0.0006139
                    117,                0.83002,                 0.5883,                0.97943,                0.99842,              0.0006106
                    118,                0.81031,                0.56509,                0.98932,                0.99842,              0.0006073
                    119,                0.80579,                0.57585,                0.98576,                0.99881,               0.000604
                    120,                0.81086,                0.56885,                0.98813,                0.99842,              0.0006007
                    121,                0.80839,                0.57032,                0.99011,                0.99842,              0.0005974
                    122,                0.80428,                0.56432,                0.99367,                0.99842,              0.0005941
                    123,                0.78196,                0.56053,                0.99051,                0.99842,              0.0005908
                    124,                0.81339,                0.57275,                0.98853,                0.99842,              0.0005875
                    125,                0.81811,                0.57097,                0.98972,                0.99842,              0.0005842
                    126,                0.82527,                0.55686,                0.99367,                0.99842,              0.0005809
                    127,                0.78508,                0.55687,                0.99011,                0.99881,              0.0005776
                    128,                   0.79,                0.55549,                0.99446,                0.99881,              0.0005743
                    129,                0.79835,                0.55876,                0.99209,                0.99842,               0.000571
                    130,                0.80918,                 0.5692,                0.98695,                0.99881,              0.0005677
                    131,                0.81087,                0.57055,                0.98892,                 0.9996,              0.0005644
                    132,                0.80141,                0.56712,                0.99248,                0.99802,              0.0005611
                    133,                0.76664,                0.55054,                0.99486,                0.99842,              0.0005578
                    134,                0.79434,                0.56104,                 0.9913,                0.99881,              0.0005545
                    135,                0.80583,                0.55013,                0.99367,                0.99842,              0.0005512
                    136,                   0.77,                0.55491,                0.99328,                0.99842,              0.0005479
                    137,                0.78428,                0.55508,                0.99011,                0.99842,              0.0005446
                    138,                0.76577,                0.55164,                0.99288,                0.99921,              0.0005413
                    139,                0.78736,                0.55028,                 0.9913,                0.99881,               0.000538
                    140,                 0.7868,                0.56742,                0.98853,                 0.9996,              0.0005347
                    141,                 0.7679,                0.55305,                0.99288,                0.99842,              0.0005314
                    142,                0.76849,                0.55577,                 0.9913,                0.99881,              0.0005281
                    143,                0.76422,                0.55995,                0.99407,                 0.9996,              0.0005248
                    144,                 0.7713,                0.55557,                0.99209,                      1,              0.0005215
                    145,                0.75576,                0.55084,                0.99288,                0.99842,              0.0005182
                    146,                0.76741,                0.54951,                0.99367,                0.99802,              0.0005149
                    147,                0.74779,                0.54702,                0.99486,                0.99842,              0.0005116
                    148,                0.78871,                0.55112,                0.99328,                0.99881,              0.0005083
                    149,                0.75737,                0.55167,                0.99367,                0.99842,               0.000505
                    150,                0.76616,                0.54878,                0.99328,                0.99842,              0.0005017
                    151,                0.76165,                0.55148,                0.99367,                0.99842,              0.0004984
                    152,                0.74306,                0.54748,                0.99328,                0.99842,              0.0004951
                    153,                0.75577,                0.54161,                0.99723,                0.99842,              0.0004918
                    154,                0.75788,                0.54642,                0.99486,                0.99842,              0.0004885
                    155,                0.74396,                0.54207,                0.99446,                0.99842,              0.0004852
                    156,                0.75594,                0.54826,                0.99604,                0.99842,              0.0004819
                    157,                0.75133,                0.54685,                0.99407,                0.99842,              0.0004786
                    158,                0.75385,                0.54817,                0.99407,                0.99842,              0.0004753
