                  epoch,             train/loss,               val/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,                   lr/0
                      0,                 2.0548,                 5.5129,                0.22722,                0.81656,              0.0009967
                      1,                 1.8628,                 2.2774,                0.24247,                0.84568,              0.0009934
                      2,                 1.7708,                 1.6277,                 0.4588,                0.95721,              0.0009901
                      3,                 1.7129,                 1.5074,                0.49386,                0.97702,              0.0009868
                      4,                 1.6979,                 1.4325,                0.53685,                0.98752,              0.0009835
                      5,                 1.6354,                 1.4142,                0.54616,                0.97999,              0.0009802
                      6,                 1.6106,                 1.4403,                0.53922,                0.98752,              0.0009769
                      7,                 1.6154,                 1.7394,                0.43562,                0.94334,              0.0009736
                      8,                 1.5795,                 1.4074,                 0.5521,                0.98118,              0.0009703
                      9,                 1.5607,                 1.3086,                0.60083,                0.98851,               0.000967
                     10,                 1.5592,                  1.372,                0.55071,                0.98514,              0.0009637
                     11,                  1.549,                 1.2626,                0.63174,                0.98891,              0.0009604
                     12,                 1.5221,                 1.2028,                0.64105,                0.99426,              0.0009571
                     13,                 1.5274,                 1.2444,                0.63174,                0.99208,              0.0009538
                     14,                 1.5042,                 1.3424,                0.56656,                0.99406,              0.0009505
                     15,                 1.5015,                 1.5327,                0.48494,                0.97682,              0.0009472
                     16,                 1.4981,                 1.2288,                0.64422,                0.99109,              0.0009439
                     17,                 1.4753,                 1.2412,                0.61767,                0.99208,              0.0009406
                     18,                 1.4933,                  1.245,                0.62698,                0.99089,              0.0009373
                     19,                 1.4589,                 1.2246,                0.63887,                0.99426,               0.000934
                     20,                 1.4675,                 1.2265,                0.64877,                0.99208,              0.0009307
                     21,                 1.4642,                  1.177,                0.66026,                0.99326,              0.0009274
                     22,                 1.4434,                 1.1099,                0.70979,                0.99782,              0.0009241
                     23,                 1.4523,                 1.1177,                 0.6878,                0.99604,              0.0009208
                     24,                 1.4416,                 1.1096,                  0.708,                0.99604,              0.0009175
                     25,                 1.4505,                 1.2455,                0.62837,                0.99109,              0.0009142
                     26,                 1.4326,                 1.1476,                0.65689,                0.99762,              0.0009109
                     27,                 1.4359,                 1.1109,                0.70602,                0.99762,              0.0009076
                     28,                 1.4323,                 1.1976,                0.65095,                0.99366,              0.0009043
                     29,                 1.4298,                 1.0993,                0.71197,                0.99901,               0.000901
                     30,                 1.4095,                 1.1317,                0.68384,                0.99742,              0.0008977
                     31,                  1.401,                  1.117,                0.68938,                0.99445,              0.0008944
                     32,                 1.4076,                 1.1072,                0.69374,                0.99346,              0.0008911
                     33,                 1.4034,                  1.064,                0.74089,                0.99802,              0.0008878
                     34,                 1.4044,                 1.1401,                0.69017,                0.99564,              0.0008845
                     35,                  1.382,                 1.0427,                0.73376,                0.99703,              0.0008812
                     36,                 1.3981,                 1.0363,                 0.7399,                0.99802,              0.0008779
                     37,                 1.3741,                 1.1059,                0.70959,                0.99445,              0.0008746
                     38,                 1.3749,                 1.0806,                 0.7187,                0.99604,              0.0008713
                     39,                 1.3601,                 1.0153,                0.74445,                0.99782,               0.000868
                     40,                  1.373,                 1.0239,                0.75693,                0.99703,              0.0008647
                     41,                 1.3543,                 1.0913,                0.71276,                0.99723,              0.0008614
                     42,                  1.366,                0.99084,                0.75911,                0.99842,              0.0008581
                     43,                 1.3525,                0.98085,                0.78071,                0.99921,              0.0008548
                     44,                 1.3718,                 1.0263,                0.75852,                0.99762,              0.0008515
                     45,                 1.3505,                0.95236,                0.78922,                0.99861,              0.0008482
                     46,                 1.3415,                0.96643,                0.78348,                0.99742,              0.0008449
                     47,                 1.3398,                0.97319,                0.78269,                0.99842,              0.0008416
                     48,                 1.3317,                0.95928,                0.79437,                0.99901,              0.0008383
                     49,                 1.3232,                0.94131,                0.80032,                0.99842,               0.000835
                     50,                 1.3272,                0.97569,                0.78071,                0.99842,              0.0008317
                     51,                 1.3148,                0.90982,                 0.8225,                0.99921,              0.0008284
                     52,                 1.3178,                0.91669,                0.82884,                0.99901,              0.0008251
                     53,                 1.2945,                0.92064,                0.80844,                      1,              0.0008218
                     54,                 1.3084,                0.89615,                0.83855,                0.99822,              0.0008185
                     55,                 1.3021,                0.86912,                0.83677,                0.99921,              0.0008152
                     56,                 1.3084,                0.89956,                0.82944,                0.99881,              0.0008119
                     57,                 1.2749,                0.85878,                0.84291,                0.99921,              0.0008086
                     58,                 1.2807,                0.85598,                0.84925,                0.99941,              0.0008053
                     59,                 1.2699,                0.89068,                0.83043,                 0.9998,               0.000802
                     60,                 1.2754,                0.84186,                0.86232,                 0.9996,              0.0007987
                     61,                 1.2701,                 0.8332,                0.85777,                      1,              0.0007954
                     62,                 1.2645,                0.84146,                0.85737,                 0.9998,              0.0007921
                     63,                 1.2579,                0.81818,                0.88253,                0.99941,              0.0007888
                     64,                 1.2544,                0.81412,                0.87876,                0.99901,              0.0007855
                     65,                 1.2339,                0.79936,                0.88986,                 0.9998,              0.0007822
