                  epoch,             train/loss,               val/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,                   lr/0
                      0,                 1.9393,                 5.1669,                0.20853,                0.69392,              0.0009967
                      1,                 1.6709,                 2.1055,                0.40482,                0.84992,              0.0009934
                      2,                 1.5531,                  1.467,                0.61019,                 0.9763,              0.0009901
                      3,                 1.4994,                 1.3788,                0.62954,                0.96446,              0.0009868
                      4,                 1.4552,                 1.1751,                0.71288,                 0.9925,              0.0009835
                      5,                 1.3976,                 1.1801,                0.70142,                0.99052,              0.0009802
                      6,                 1.3689,                 1.1649,                 0.6951,                 0.9921,              0.0009769
                      7,                 1.3714,                 1.1698,                0.72156,                0.98578,              0.0009736
                      8,                 1.3358,                 1.1119,                0.71682,                0.99368,              0.0009703
                      9,                 1.3254,                 1.0545,                0.75592,                0.99408,               0.000967
                     10,                 1.2641,                 1.0196,                0.77054,                0.99526,              0.0009637
                     11,                 1.3081,                 1.1025,                0.72117,                0.99447,              0.0009604
                     12,                 1.2628,                   1.04,                0.76422,                0.99408,              0.0009571
                     13,                 1.2325,                 1.0227,                 0.7658,                0.99645,              0.0009538
                     14,                 1.2491,                0.92625,                0.82227,                0.99645,              0.0009505
                     15,                 1.2425,                 1.0973,                0.73381,                0.99566,              0.0009472
                     16,                  1.207,                 1.0129,                0.78239,                 0.9925,              0.0009439
                     17,                  1.201,                0.98562,                0.77844,                0.99645,              0.0009406
                     18,                 1.2241,                0.95516,                0.80411,                0.99447,              0.0009373
                     19,                 1.1947,                0.96227,                0.79818,                0.99289,               0.000934
                     20,                 1.2005,                0.90894,                0.81438,                0.99763,              0.0009307
                     21,                 1.1408,                0.92625,                 0.8357,                0.99605,              0.0009274
                     22,                 1.1663,                0.99487,                0.79502,                0.99566,              0.0009241
                     23,                 1.1607,                 0.9523,                0.81438,                0.99566,              0.0009208
                     24,                 1.1562,                   1.07,                0.77962,                0.98815,              0.0009175
                     25,                 1.1451,                 0.8786,                0.84439,                0.99684,              0.0009142
                     26,                 1.1148,                0.88529,                 0.8357,                0.99645,              0.0009109
                     27,                 1.1348,                0.84867,                0.85782,                0.99842,              0.0009076
                     28,                  1.103,                0.85242,                0.86216,                0.99803,              0.0009043
                     29,                 1.0747,                0.85194,                0.84953,                0.99684,               0.000901
                     30,                 1.1089,                0.88973,                  0.844,                0.99645,              0.0008977
                     31,                 1.1156,                 0.8445,                 0.8669,                0.99724,              0.0008944
                     32,                 1.0976,                0.79925,                0.87954,                0.99842,              0.0008911
                     33,                 1.0533,                0.84293,                0.86177,                0.99803,              0.0008878
                     34,                  1.062,                0.77614,                0.89731,                0.99842,              0.0008845
                     35,                 1.0609,                0.85181,                0.86532,                0.99526,              0.0008812
                     36,                 1.0676,                0.73944,                0.91706,                0.99763,              0.0008779
                     37,                 1.0574,                0.76753,                0.90008,                0.99803,              0.0008746
                     38,                 1.0427,                0.74577,                0.91627,                0.99803,              0.0008713
                     39,                 1.0411,                0.78133,                0.90561,                0.99763,               0.000868
                     40,                 1.0544,                0.97377,                 0.8282,                0.98776,              0.0008647
                     41,                 1.0414,                 0.8719,                0.85742,                0.99803,              0.0008614
                     42,                 1.0496,                0.71963,                0.91904,                0.99842,              0.0008581
                     43,                 1.0129,                0.76134,                0.90363,                0.99763,              0.0008548
                     44,                0.99088,                0.79266,                0.88902,                0.99842,              0.0008515
                     45,                 1.0203,                0.73999,                0.91667,                0.99842,              0.0008482
                     46,                 1.0172,                0.71011,                0.92575,                0.99842,              0.0008449
                     47,                0.98843,                0.73885,                0.91627,                0.99961,              0.0008416
                     48,                0.97436,                0.76762,                0.90521,                0.99684,              0.0008383
                     49,                0.99888,                0.72352,                0.93167,                0.99803,               0.000835
                     50,                  1.021,                0.76155,                0.90521,                0.99605,              0.0008317
                     51,                 0.9758,                0.68111,                 0.9451,                0.99803,              0.0008284
                     52,                0.99445,                0.68514,                0.93602,                0.99882,              0.0008251
                     53,                0.97259,                0.72002,                0.92654,                0.99842,              0.0008218
                     54,                0.96742,                0.67199,                0.94392,                0.99803,              0.0008185
                     55,                0.97007,                0.75096,                0.91785,                0.99803,              0.0008152
                     56,                0.94412,                0.69392,                 0.9372,                0.99921,              0.0008119
                     57,                0.99322,                0.75481,                0.91193,                0.99803,              0.0008086
                     58,                0.95435,                0.65267,                0.95182,                0.99842,              0.0008053
                     59,                0.95234,                0.75087,                0.90284,                0.99763,               0.000802
                     60,                0.94763,                0.63465,                0.96169,                0.99803,              0.0007987
                     61,                0.92922,                0.66233,                0.95221,                0.99882,              0.0007954
                     62,                0.94035,                0.63581,                0.96446,                0.99842,              0.0007921
                     63,                0.97639,                0.69902,                0.94036,                0.99842,              0.0007888
                     64,                0.91488,                0.69113,                0.94589,                0.99842,              0.0007855
                     65,                0.94502,                0.64589,                0.96011,                0.99882,              0.0007822
                     66,                0.91364,                0.66501,                0.94668,                0.99882,              0.0007789
                     67,                0.94461,                0.66532,                0.95182,                0.99803,              0.0007756
                     68,                0.91924,                0.63984,                0.97235,                0.99842,              0.0007723
                     69,                0.94159,                0.68611,                0.94036,                0.99803,               0.000769
                     70,                0.89626,                0.63836,                0.95814,                0.99882,              0.0007657
                     71,                0.92351,                0.65394,                0.95577,                0.99882,              0.0007624
                     72,                0.92148,                0.66144,                0.95182,                0.99882,              0.0007591
                     73,                0.94421,                0.60789,                0.97472,                0.99842,              0.0007558
                     74,                0.91737,                0.62392,                0.96998,                0.99842,              0.0007525
                     75,                0.91191,                 0.6169,                0.96564,                0.99882,              0.0007492
                     76,                0.88104,                0.63612,                0.95695,                0.99842,              0.0007459
                     77,                0.89012,                0.62802,                0.96801,                0.99842,              0.0007426
                     78,                0.88518,                0.62646,                0.97196,                0.99803,              0.0007393
                     79,                0.90432,                0.60499,                0.97551,                0.99961,               0.000736
                     80,                0.89714,                0.59527,                0.98302,                0.99842,              0.0007327
                     81,                0.88419,                0.61569,                0.97472,                0.99842,              0.0007294
                     82,                0.87295,                  0.604,                0.97551,                0.99842,              0.0007261
                     83,                0.88656,                0.62029,                0.96761,                0.99842,              0.0007228
                     84,                  0.879,                0.60085,                0.97196,                      1,              0.0007195
                     85,                0.84757,                0.58639,                0.97946,                0.99882,              0.0007162
                     86,                0.88381,                0.60363,                0.97828,                0.99882,              0.0007129
                     87,                0.87879,                0.60122,                0.97749,                0.99882,              0.0007096
                     88,                0.86262,                0.59098,                0.98855,                0.99842,              0.0007063
                     89,                0.86262,                0.60972,                0.97275,                0.99882,               0.000703
                     90,                0.87531,                0.59598,                0.98065,                0.99961,              0.0006997
                     91,                0.87155,                0.58742,                0.98144,                0.99842,              0.0006964
                     92,                 0.8633,                0.59856,                0.98025,                0.99842,              0.0006931
                     93,                0.85824,                0.57426,                0.98657,                      1,              0.0006898
                     94,                0.86461,                0.61267,                0.97275,                0.99842,              0.0006865
