                  epoch,             train/loss,               val/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,                   lr/0
                      0,                 1.8298,                 2.1768,                0.43047,                0.89025,              0.0009967
                      1,                 1.5596,                 1.5298,                0.52892,                0.97306,              0.0009934
                      2,                 1.4654,                  1.308,                0.64184,                0.98554,              0.0009901
                      3,                 1.4155,                 1.2898,                0.66403,                0.98316,              0.0009868
                      4,                 1.3639,                 1.1795,                0.69354,                0.99346,              0.0009835
                      5,                 1.3377,                 1.2193,                0.66719,                0.99465,              0.0009802
                      6,                 1.3167,                 1.1827,                0.68284,                 0.9901,              0.0009769
                      7,                 1.2891,                 1.1506,                0.69929,                0.99406,              0.0009736
                      8,                  1.293,                 1.1115,                0.72246,                0.99723,              0.0009703
                      9,                  1.241,                  1.214,                0.68047,                0.98673,               0.000967
                     10,                 1.2413,                 1.1867,                0.70345,                0.99089,              0.0009637
                     11,                 1.2439,                 1.1983,                0.69136,                0.98356,              0.0009604
                     12,                 1.2299,                 1.1041,                0.73316,                0.99564,              0.0009571
                     13,                 1.2156,                 1.0358,                0.75931,                0.99604,              0.0009538
                     14,                 1.1963,                 1.0409,                 0.7601,                0.99604,              0.0009505
                     15,                 1.1943,                  1.011,                0.76862,                0.99742,              0.0009472
                     16,                 1.1819,                 1.0366,                0.76704,                0.99564,              0.0009439
                     17,                 1.1834,                0.96083,                0.79814,                0.99782,              0.0009406
                     18,                  1.175,                 1.0502,                0.75198,                0.99564,              0.0009373
                     19,                  1.166,                 1.0493,                0.73792,                0.99604,               0.000934
                     20,                 1.1743,                0.96564,                0.80884,                0.99842,              0.0009307
                     21,                 1.1653,                0.97514,                0.79061,                0.99861,              0.0009274
                     22,                 1.1186,                0.93345,                0.80666,                0.99881,              0.0009241
                     23,                 1.1275,                  1.006,                0.78011,                0.99742,              0.0009208
                     24,                 1.1353,                0.99078,                0.77912,                0.99782,              0.0009175
                     25,                 1.1188,                0.89843,                 0.8332,                0.99762,              0.0009142
                     26,                 1.1403,                0.96421,                0.80646,                0.99881,              0.0009109
                     27,                 1.1142,                0.90504,                0.82825,                0.99881,              0.0009076
                     28,                 1.1034,                0.91004,                0.82884,                0.99762,              0.0009043
                     29,                 1.1095,                 0.9321,                0.80963,                0.99604,               0.000901
                     30,                 1.0803,                0.89878,                0.83617,                0.99921,              0.0008977
                     31,                  1.076,                0.88317,                0.83697,                0.99861,              0.0008944
                     32,                 1.0771,                0.85382,                0.85479,                 0.9996,              0.0008911
                     33,                 1.0834,                0.92092,                0.82964,                0.99683,              0.0008878
                     34,                 1.0932,                0.92057,                0.81399,                0.99742,              0.0008845
                     35,                 1.0614,                0.86608,                0.85836,                0.99861,              0.0008812
                     36,                 1.0831,                0.85033,                 0.8546,                0.99881,              0.0008779
                     37,                 1.0592,                0.84774,                0.85856,                0.99921,              0.0008746
                     38,                 1.0545,                0.83206,                0.86668,                0.99921,              0.0008713
                     39,                 1.0281,                0.84058,                0.86074,                0.99921,               0.000868
                     40,                 1.0444,                0.82391,                 0.8752,                0.99861,              0.0008647
                     41,                 1.0437,                0.81145,                0.87342,                0.99941,              0.0008614
                     42,                  1.041,                0.86914,                0.85598,                0.99842,              0.0008581
                     43,                 1.0142,                0.79306,                 0.8857,                0.99941,              0.0008548
                     44,                 1.0389,                0.81235,                0.87916,                0.99921,              0.0008515
                     45,                   1.01,                0.83017,                0.86906,                0.99802,              0.0008482
                     46,                0.99948,                0.81287,                0.87163,                0.99842,              0.0008449
                     47,                 1.0043,                0.78729,                0.89085,                0.99901,              0.0008416
                     48,                 1.0142,                0.87529,                0.84925,                0.99861,              0.0008383
                     49,                 1.0198,                0.78683,                0.88867,                0.99901,               0.000835
                     50,                0.99536,                0.77988,                0.89105,                0.99881,              0.0008317
                     51,                0.96787,                0.75849,                0.90095,                0.99881,              0.0008284
                     52,                0.97944,                0.79125,                0.89065,                0.99842,              0.0008251
                     53,                 0.9756,                0.74253,                0.91204,                0.99901,              0.0008218
                     54,                 0.9795,                0.75033,                0.91105,                0.99901,              0.0008185
                     55,                0.95863,                0.74954,                0.91125,                      1,              0.0008152
                     56,                0.97715,                0.72791,                0.91977,                 0.9998,              0.0008119
                     57,                0.96831,                0.74709,                0.91997,                0.99941,              0.0008086
                     58,                0.96063,                 0.7018,                0.94077,                      1,              0.0008053
                     59,                0.94751,                0.74837,                0.90293,                0.99901,               0.000802
                     60,                0.94753,                0.70607,                0.93661,                 0.9998,              0.0007987
                     61,                0.93719,                0.70053,                0.93284,                 0.9996,              0.0007954
                     62,                0.94229,                 0.6984,                0.93443,                0.99901,              0.0007921
                     63,                0.93466,                0.69466,                  0.937,                0.99941,              0.0007888
                     64,                0.92668,                0.68684,                0.94216,                0.99941,              0.0007855
                     65,                0.91502,                0.70922,                0.92571,                 0.9998,              0.0007822
                     66,                0.93163,                0.67718,                0.94513,                0.99941,              0.0007789
                     67,                0.94387,                0.71209,                0.92413,                0.99881,              0.0007756
                     68,                0.93134,                0.68615,                0.94552,                0.99921,              0.0007723
                     69,                0.91771,                0.67025,                0.95008,                 0.9996,               0.000769
                     70,                0.90723,                0.66238,                 0.9582,                 0.9996,              0.0007657
                     71,                0.90264,                0.65827,                 0.9586,                0.99901,              0.0007624
                     72,                0.91313,                0.69043,                0.94255,                0.99901,              0.0007591
                     73,                0.88031,                0.65003,                0.96197,                0.99921,              0.0007558
                     74,                0.88661,                0.63575,                0.96712,                      1,              0.0007525
                     75,                0.89199,                0.65055,                0.95602,                0.99941,              0.0007492
                     76,                0.88734,                0.63638,                0.96533,                      1,              0.0007459
                     77,                0.88486,                 0.6287,                0.96652,                0.99921,              0.0007426
                     78,                0.86445,                0.62685,                0.97088,                0.99941,              0.0007393
                     79,                0.88555,                0.62522,                0.97147,                0.99941,               0.000736
                     80,                0.87241,                0.61887,                0.97563,                      1,              0.0007327
                     81,                0.86141,                0.61764,                0.97761,                      1,              0.0007294
                     82,                0.87395,                0.61245,                0.97781,                0.99941,              0.0007261
                     83,                0.87643,                0.61091,                0.97841,                 0.9996,              0.0007228
                     84,                0.83579,                0.61214,                0.97662,                      1,              0.0007195
                     85,                0.86954,                0.61115,                0.97583,                      1,              0.0007162
                     86,                0.84713,                0.60777,                0.97979,                0.99921,              0.0007129
                     87,                0.85308,                  0.604,                0.97999,                 0.9998,              0.0007096
                     88,                0.85639,                0.59303,                0.98594,                      1,              0.0007063
                     89,                0.85514,                0.59266,                0.98534,                      1,               0.000703
                     90,                0.83504,                 0.5911,                0.98395,                 0.9996,              0.0006997
                     91,                0.86512,                0.60013,                0.98296,                 0.9996,              0.0006964
                     92,                0.86162,                 0.5914,                0.98752,                 0.9998,              0.0006931
                     93,                0.84545,                0.58884,                0.98514,                0.99941,              0.0006898
                     94,                 0.8303,                 0.5832,                0.98653,                      1,              0.0006865
                     95,                0.84414,                0.58588,                0.98673,                0.99921,              0.0006832
                     96,                0.82505,                 0.5799,                 0.9901,                0.99941,              0.0006799
                     97,                0.84137,                0.57589,                0.98891,                0.99941,              0.0006766
                     98,                0.83953,                0.57636,                 0.9897,                      1,              0.0006733
                     99,                0.82627,                0.57661,                0.99227,                0.99941,                0.00067
                    100,                 0.8151,                0.58118,                0.98435,                 0.9998,              0.0006667
                    101,                0.82988,                0.57595,                0.99188,                0.99921,              0.0006634
                    102,                0.80601,                0.57257,                0.99406,                      1,              0.0006601
                    103,                0.81573,                0.57122,                0.99406,                      1,              0.0006568
                    104,                0.82807,                0.57304,                0.99326,                0.99941,              0.0006535
                    105,                0.82313,                 0.5664,                0.99346,                      1,              0.0006502
                    106,                0.80695,                0.56676,                0.99307,                 0.9998,              0.0006469
                    107,                0.81913,                0.56808,                0.99247,                      1,              0.0006436
                    108,                0.83752,                0.56419,                0.99406,                0.99941,              0.0006403
                    109,                0.81099,                0.56594,                0.99386,                0.99941,               0.000637
                    110,                0.81721,                0.56548,                0.99445,                      1,              0.0006337
                    111,                0.79889,                0.56299,                0.99624,                0.99921,              0.0006304
                    112,                0.79844,                0.56279,                0.99406,                0.99921,              0.0006271
                    113,                0.80007,                0.55967,                0.99505,                0.99921,              0.0006238
                    114,                0.80585,                 0.5645,                0.99445,                 0.9998,              0.0006205
                    115,                0.78876,                0.56013,                0.99584,                      1,              0.0006172
                    116,                0.80602,                0.56316,                0.99525,                      1,              0.0006139
                    117,                0.78471,                0.56157,                0.99505,                      1,              0.0006106
                    118,                0.80905,                0.55794,                0.99564,                      1,              0.0006073
                    119,                0.80105,                0.55661,                0.99624,                 0.9998,               0.000604
                    120,                0.78587,                0.55488,                0.99624,                 0.9996,              0.0006007
                    121,                0.80052,                0.55555,                0.99643,                      1,              0.0005974
                    122,                0.79423,                 0.5543,                0.99643,                      1,              0.0005941
                    123,                0.79963,                0.55604,                0.99465,                      1,              0.0005908
                    124,                0.78635,                0.55478,                0.99604,                 0.9998,              0.0005875
                    125,                0.78317,                0.55585,                0.99703,                      1,              0.0005842
                    126,                 0.7624,                0.55426,                0.99604,                      1,              0.0005809
                    127,                0.79096,                0.55501,                0.99604,                      1,              0.0005776
                    128,                0.77188,                0.55252,                0.99643,                      1,              0.0005743
                    129,                0.78661,                0.55143,                0.99703,                      1,               0.000571
                    130,                0.77387,                0.55136,                0.99723,                      1,              0.0005677
                    131,                0.77587,                0.54941,                0.99782,                      1,              0.0005644
                    132,                0.76802,                0.54998,                0.99802,                      1,              0.0005611
                    133,                0.76895,                0.54813,                0.99921,                      1,              0.0005578
                    134,                0.78536,                0.54693,                0.99901,                      1,              0.0005545
                    135,                0.76322,                0.54782,                0.99861,                      1,              0.0005512
                    136,                0.77005,                0.54683,                0.99842,                      1,              0.0005479
                    137,                0.77573,                0.54752,                0.99842,                      1,              0.0005446
                    138,                0.76337,                0.54762,                0.99802,                      1,              0.0005413
                    139,                0.77345,                0.54631,                0.99822,                      1,               0.000538
                    140,                0.76824,                0.54827,                0.99881,                      1,              0.0005347
                    141,                0.77326,                 0.5473,                0.99861,                      1,              0.0005314
                    142,                0.76529,                0.54561,                0.99901,                      1,              0.0005281
                    143,                0.76671,                0.54474,                0.99901,                      1,              0.0005248
                    144,                0.75307,                0.54608,                0.99881,                 0.9998,              0.0005215
                    145,                0.74583,                0.54598,                0.99901,                      1,              0.0005182
                    146,                0.74421,                0.54579,                0.99901,                      1,              0.0005149
                    147,                0.76795,                0.54603,                0.99901,                      1,              0.0005116
                    148,                0.76037,                0.54544,                0.99901,                      1,              0.0005083
                    149,                0.75939,                0.54535,                0.99881,                      1,               0.000505
                    150,                0.75745,                0.54496,                0.99861,                      1,              0.0005017
                    151,                 0.7608,                0.54462,                0.99881,                 0.9998,              0.0004984
                    152,                 0.7437,                0.54446,                0.99901,                 0.9998,              0.0004951
