                  epoch,             train/loss,               val/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,                   lr/0
                      0,                 2.2422,                  4.621,                0.27338,                0.73059,             0.00099505
                      1,                 2.0709,                 2.8857,                0.40491,                0.81616,              0.0009901
                      2,                 1.8719,                 2.8687,                0.39144,                0.84707,             0.00098515
                      3,                 1.7738,                 1.7033,                0.51743,                0.93819,              0.0009802
                      4,                 1.7146,                 1.7588,                0.48891,                0.94691,             0.00097525
                      5,                 1.6412,                 4.3777,                0.23455,                0.59271,              0.0009703
                      6,                 1.6605,                 1.8843,                 0.4691,                0.92235,             0.00096535
                      7,                  1.585,                 1.4933,                0.54437,                0.98177,              0.0009604
                      8,                 1.5714,                  1.493,                0.55705,                0.96117,             0.00095545
                      9,                 1.5749,                 1.4692,                0.57845,                0.98811,              0.0009505
                     10,                 1.5408,                 1.2973,                0.64025,                0.99445,             0.00094555
                     11,                 1.4808,                  1.236,                0.66957,                0.99604,              0.0009406
                     12,                 1.5045,                 1.2906,                 0.6355,                0.98574,             0.00093565
                     13,                 1.4941,                 1.2116,                0.67829,                0.99683,              0.0009307
                     14,                 1.4753,                 1.3007,                 0.6141,                0.99762,             0.00092575
                     15,                 1.4742,                 1.2304,                0.66165,                0.99208,              0.0009208
                     16,                 1.4977,                 1.2221,                0.69017,                0.99683,             0.00091585
                     17,                  1.468,                 1.2938,                0.64659,                0.98574,              0.0009109
                     18,                 1.4535,                 1.2649,                0.65214,                0.99366,             0.00090595
                     19,                 1.4975,                 1.0844,                 0.7393,                      1,               0.000901
                     20,                 1.4109,                 1.2414,                0.67274,                0.99525,             0.00089605
                     21,                 1.4117,                 1.0484,                0.75119,                0.99842,              0.0008911
                     22,                 1.3968,                 1.1366,                  0.687,                0.99366,             0.00088615
                     23,                  1.302,                 1.0384,                0.75277,                0.99762,              0.0008812
                     24,                  1.359,                 1.0489,                0.74564,                0.99921,             0.00087625
                     25,                 1.3348,                 1.0752,                0.74723,                0.99842,              0.0008713
                     26,                 1.3293,                 1.0435,                0.76624,                0.99762,             0.00086635
                     27,                 1.4239,                 1.1059,                0.72979,                0.99762,              0.0008614
                     28,                 1.3981,                 1.0587,                0.74723,                      1,             0.00085645
                     29,                 1.3813,                 1.0883,                0.72742,                0.99762,              0.0008515
                     30,                 1.3128,                 1.0107,                0.76783,                0.99842,             0.00084655
                     31,                 1.3323,                 0.9558,                0.80507,                      1,              0.0008416
                     32,                 1.3344,                  1.018,                0.77655,                0.99604,             0.00083665
                     33,                 1.3391,                0.98172,                 0.7813,                0.99921,              0.0008317
                     34,                 1.2695,                0.98571,                0.78605,                      1,             0.00082675
                     35,                 1.3122,                0.93862,                0.82092,                0.99842,              0.0008218
                     36,                 1.3013,                0.92473,                0.80903,                      1,             0.00081685
                     37,                 1.2898,                0.97978,                0.78209,                      1,              0.0008119
                     38,                  1.281,                 1.0172,                 0.7599,                      1,             0.00080695
                     39,                 1.2831,                0.96884,                0.77813,                      1,               0.000802
                     40,                 1.2666,                0.90568,                0.81775,                      1,             0.00079705
                     41,                 1.2892,                0.95701,                0.79873,                      1,              0.0007921
                     42,                  1.267,                0.88067,                0.84786,                0.99921,             0.00078715
                     43,                 1.2465,                0.98078,                0.79556,                0.99921,              0.0007822
                     44,                 1.3019,                0.98393,                0.78447,                0.99842,             0.00077725
                     45,                  1.272,                 1.2717,                0.66165,                0.97781,              0.0007723
                     46,                 1.2626,                 1.0076,                0.77575,                0.99842,             0.00076735
                     47,                 1.2467,                0.89557,                0.83835,                      1,              0.0007624
                     48,                  1.272,                0.88613,                0.83835,                0.99921,             0.00075745
                     49,                 1.2231,                0.83197,                0.87797,                      1,              0.0007525
                     50,                 1.1944,                0.89961,                0.82884,                0.99762,             0.00074755
                     51,                 1.2637,                0.89215,                0.83439,                      1,              0.0007426
                     52,                 1.1914,                0.86675,                0.83835,                0.99921,             0.00073765
                     53,                 1.2257,                  0.862,                0.84786,                0.99842,              0.0007327
                     54,                 1.2218,                0.88171,                0.83518,                0.99921,             0.00072775
                     55,                 1.2396,                 0.8982,                 0.8336,                      1,              0.0007228
                     56,                 1.2135,                0.89539,                0.83994,                0.99921,             0.00071785
                     57,                 1.2008,                0.81814,                 0.8859,                      1,              0.0007129
                     58,                 1.1856,                0.91006,                0.82488,                      1,             0.00070795
                     59,                 1.1821,                0.88756,                0.83201,                      1,               0.000703
                     60,                 1.1995,                 0.8693,                0.85895,                0.99842,             0.00069805
                     61,                 1.2067,                0.83617,                 0.8645,                      1,              0.0006931
                     62,                 1.2084,                0.78977,                0.89223,                      1,             0.00068815
                     63,                 1.1834,                0.84491,                0.86846,                      1,              0.0006832
                     64,                 1.1389,                  0.875,                0.84548,                      1,             0.00067825
                     65,                 1.1926,                0.82449,                0.86292,                      1,              0.0006733
                     66,                 1.1333,                0.77779,                0.90571,                      1,             0.00066835
                     67,                 1.1008,                0.78079,                0.89778,                      1,              0.0006634
                     68,                 1.1639,                0.72822,                0.91838,                      1,             0.00065845
