                  epoch,             train/loss,               val/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,                   lr/0
                      0,                 2.3111,                 3.9099,                0.26899,                0.69462,             0.00099505
                      1,                 2.0341,                 5.8132,                0.35443,                0.81646,              0.0009901
                      2,                 1.7846,                 4.0316,                0.32753,                0.86551,             0.00098515
                      3,                 1.6506,                 2.4382,                0.50316,                0.92722,              0.0009802
                      4,                 1.6139,                 1.7515,                0.62658,                0.98892,             0.00097525
                      5,                 1.5517,                 1.6313,                0.61234,                0.99842,              0.0009703
                      6,                 1.4706,                 2.1034,                0.49209,                0.97627,             0.00096535
                      7,                 1.4739,                  1.757,                0.51424,                0.92089,              0.0009604
                      8,                 1.4519,                 1.4073,                0.60918,                0.95728,             0.00095545
                      9,                 1.4742,                 1.0866,                0.74525,                0.99842,              0.0009505
                     10,                 1.3296,                 1.1677,                 0.7057,                0.99842,             0.00094555
                     11,                 1.3571,                 1.1426,                0.69146,                0.99684,              0.0009406
                     12,                 1.3958,                 1.1265,                0.74367,                      1,             0.00093565
                     13,                 1.2522,                 1.2798,                0.61076,                0.99367,              0.0009307
                     14,                 1.3015,                0.99553,                0.78006,                      1,             0.00092575
                     15,                 1.2959,                 1.2064,                0.69937,                0.99367,              0.0009208
                     16,                 1.3114,                 1.5093,                0.59494,                0.99684,             0.00091585
                     17,                 1.2438,                0.94947,                0.81171,                      1,              0.0009109
                     18,                  1.273,                 1.0083,                0.77532,                0.99684,             0.00090595
                     19,                 1.2389,                 1.0174,                0.76899,                0.99842,               0.000901
                     20,                 1.2135,                0.92429,                0.83544,                0.99842,             0.00089605
                     21,                 1.1676,                 1.0354,                0.77373,                      1,              0.0008911
                     22,                 1.1703,                0.94229,                0.83861,                0.99684,             0.00088615
                     23,                 1.1859,                 1.1112,                0.74684,                0.99525,              0.0008812
                     24,                 1.1778,                0.92842,                0.82753,                      1,             0.00087625
                     25,                 1.1329,                0.88058,                0.82753,                      1,              0.0008713
                     26,                 1.1418,                0.96477,                0.79114,                      1,             0.00086635
                     27,                 1.1585,                0.97523,                0.76582,                0.99842,              0.0008614
                     28,                 1.1255,                0.80627,                0.87342,                      1,             0.00085645
                     29,                 1.1241,                0.96224,                0.80854,                0.99684,              0.0008515
                     30,                 1.1207,                0.93586,                 0.8212,                0.99684,             0.00084655
                     31,                  1.138,                0.87611,                0.83386,                0.99842,              0.0008416
                     32,                 1.0845,                0.85912,                0.84494,                0.99842,             0.00083665
                     33,                 1.0755,                0.86175,                0.86709,                      1,              0.0008317
                     34,                 1.0976,                0.94325,                0.83544,                      1,             0.00082675
                     35,                 1.0752,                0.93537,                0.80854,                0.99842,              0.0008218
                     36,                 1.0598,                0.84077,                0.86709,                      1,             0.00081685
                     37,                 1.1571,                0.91406,                0.82437,                      1,              0.0008119
                     38,                 1.0697,                0.93344,                0.80063,                      1,             0.00080695
                     39,                 1.0201,                0.85006,                0.82911,                      1,               0.000802
                     40,                 1.0534,                 0.8478,                0.86867,                      1,             0.00079705
                     41,                 1.1078,                0.76791,                 0.9288,                0.99842,              0.0007921
                     42,                 1.0326,                0.82769,                0.88766,                      1,             0.00078715
                     43,                 1.0283,                0.70081,                0.92722,                      1,              0.0007822
                     44,                  1.063,                0.71101,                0.93196,                      1,             0.00077725
