                  epoch,             train/loss,               val/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,                   lr/0
                      0,                  2.443,                  3.876,                0.27804,                 0.6951,             0.00099505
                      1,                 2.1952,                 3.8293,                0.33333,                0.78831,              0.0009901
                      2,                 1.9774,                 3.4405,                0.24645,                0.77883,             0.00098515
                      3,                 1.9944,                 2.9673,                0.30016,                0.88784,              0.0009802
                      4,                 1.8428,                 2.9939,                0.31438,                0.92417,             0.00097525
                      5,                 1.8058,                 1.9573,                 0.4297,                0.94787,              0.0009703
                      6,                 1.7983,                 1.7601,                0.41232,                0.95419,             0.00096535
                      7,                 1.7734,                 2.2076,                0.45814,                0.95735,              0.0009604
                      8,                 1.7068,                 1.9064,                0.47709,                0.95261,             0.00095545
                      9,                 1.6734,                 1.6989,                0.53397,                0.97472,              0.0009505
                     10,                 1.6895,                 1.7635,                0.49921,                0.97788,             0.00094555
                     11,                 1.6421,                 1.4245,                 0.5703,                0.99526,              0.0009406
                     12,                 1.6735,                 1.4156,                0.60979,                0.98894,             0.00093565
                     13,                 1.6513,                 1.2989,                0.66509,                0.99526,              0.0009307
                     14,                 1.6544,                  1.569,                0.55292,                0.96524,             0.00092575
                     15,                 1.6194,                 1.5059,                 0.5782,                0.98578,              0.0009208
                     16,                 1.5757,                 1.2885,                0.64613,                      1,             0.00091585
                     17,                 1.5605,                 1.2731,                0.65245,                0.99368,              0.0009109
                     18,                 1.5498,                 1.2105,                0.68088,                0.99526,             0.00090595
                     19,                 1.5577,                 1.1921,                0.69984,                      1,               0.000901
                     20,                 1.5301,                 1.1348,                0.74724,                      1,             0.00089605
                     21,                 1.5265,                 1.3268,                0.61769,                0.99526,              0.0008911
                     22,                 1.4769,                 1.0912,                0.76777,                      1,             0.00088615
                     23,                 1.4213,                  1.198,                 0.6872,                0.99526,              0.0008812
                     24,                 1.5358,                 1.2069,                0.69194,                0.99526,             0.00087625
                     25,                 1.4619,                 1.4017,                0.58926,                0.98894,              0.0008713
                     26,                 1.4493,                 1.0677,                0.78199,                      1,             0.00086635
                     27,                 1.4872,                 1.1739,                0.73302,                0.99684,              0.0008614
                     28,                 1.4815,                 1.1182,                0.74724,                0.99842,             0.00085645
                     29,                 1.4774,                 1.0546,                0.75671,                      1,              0.0008515
                     30,                 1.4291,                 1.1729,                0.71564,                0.99842,             0.00084655
                     31,                 1.4444,                 1.0762,                0.76303,                      1,              0.0008416
                     32,                 1.4647,                  1.109,                0.76303,                0.99684,             0.00083665
                     33,                 1.4423,                 1.0587,                0.74408,                0.99842,              0.0008317
                     34,                 1.3861,                0.96466,                0.81675,                      1,             0.00082675
                     35,                 1.3808,                 1.0671,                0.78989,                0.99684,              0.0008218
                     36,                 1.3761,                0.95539,                0.80727,                      1,             0.00081685
                     37,                 1.3613,                0.96196,                0.82148,                      1,              0.0008119
                     38,                 1.3955,                0.97077,                0.83254,                0.99842,             0.00080695
                     39,                 1.3292,                0.96805,                0.81517,                      1,               0.000802
                     40,                 1.3224,                0.91693,                0.85624,                      1,             0.00079705
                     41,                 1.3354,                0.90784,                0.85624,                      1,              0.0007921
                     42,                 1.3394,                0.95429,                0.82148,                      1,             0.00078715
                     43,                 1.3247,                0.89696,                0.85782,                      1,              0.0007822
                     44,                 1.3324,                0.99707,                0.80727,                0.99842,             0.00077725
                     45,                 1.3381,                0.87372,                0.85782,                      1,              0.0007723
                     46,                 1.2768,                0.95106,                0.82622,                      1,             0.00076735
                     47,                 1.3205,                0.88172,                0.86888,                0.99842,              0.0007624
                     48,                 1.2614,                0.94202,                0.84676,                0.99842,             0.00075745
                     49,                  1.336,                0.90032,                 0.8515,                      1,              0.0007525
                     50,                  1.241,                0.92603,                0.82306,                0.99842,             0.00074755
                     51,                 1.2734,                0.84955,                0.90363,                      1,              0.0007426
                     52,                 1.2748,                 1.0636,                0.76777,                0.99684,             0.00073765
                     53,                 1.2468,                0.95026,                0.83728,                0.99684,              0.0007327
                     54,                 1.2582,                0.85133,                 0.8752,                      1,             0.00072775
                     55,                 1.2077,                0.78009,                0.91943,                      1,              0.0007228
                     56,                 1.2083,                0.86328,                0.87046,                      1,             0.00071785
                     57,                 1.2348,                0.79866,                0.89889,                      1,              0.0007129
                     58,                 1.1914,                0.81282,                0.88784,                      1,             0.00070795
                     59,                 1.2681,                0.84821,                0.87994,                      1,               0.000703
                     60,                 1.1814,                0.79193,                0.91311,                0.99842,             0.00069805
                     61,                 1.2569,                0.86653,                0.86888,                      1,              0.0006931
                     62,                 1.2224,                0.93537,                0.84676,                0.99842,             0.00068815
                     63,                 1.2898,                0.82911,                0.89731,                      1,              0.0006832
                     64,                 1.2679,                 1.0204,                0.79305,                0.99684,             0.00067825
                     65,                 1.2436,                 1.0414,                0.80885,                0.99684,              0.0006733
                     66,                 1.1974,                0.76156,                0.92733,                      1,             0.00066835
                     67,                 1.1769,                 0.7899,                0.91153,                      1,              0.0006634
                     68,                 1.1721,                 0.8121,                0.89573,                      1,             0.00065845
                     69,                 1.2175,                0.82388,                0.89258,                      1,              0.0006535
                     70,                  1.134,                0.77025,                0.92417,                      1,             0.00064855
                     71,                 1.1548,                0.80265,                0.90521,                      1,              0.0006436
                     72,                 1.1932,                0.79087,                0.89731,                      1,             0.00063865
                     73,                  1.205,                0.81235,                0.89415,                      1,              0.0006337
                     74,                 1.1508,                0.77401,                0.92259,                      1,             0.00062875
                     75,                 1.1294,                 0.7284,                0.93365,                      1,              0.0006238
                     76,                 1.1509,                0.72702,                0.94471,                      1,             0.00061885
                     77,                 1.1635,                0.84916,                0.87046,                      1,              0.0006139
                     78,                 1.1334,                0.77055,                0.92417,                      1,             0.00060895
                     79,                 1.1348,                0.72925,                0.93839,                      1,               0.000604
                     80,                 1.1222,                0.69434,                0.95261,                      1,             0.00059905
                     81,                 1.1509,                0.87361,                 0.8436,                      1,              0.0005941
                     82,                 1.1376,                0.74452,                0.93523,                      1,             0.00058915
                     83,                 1.1197,                0.72994,                0.94629,                      1,              0.0005842
                     84,                 1.1039,                0.80752,                0.89258,                      1,             0.00057925
                     85,                 1.1369,                0.71257,                0.95893,                      1,              0.0005743
                     86,                 1.0654,                0.68397,                0.97946,                      1,             0.00056935
                     87,                 1.0642,                0.68618,                0.96367,                      1,              0.0005644
                     88,                  1.083,                0.68491,                0.95577,                      1,             0.00055945
                     89,                 1.1105,                0.66903,                0.96998,                      1,              0.0005545
                     90,                 1.0978,                0.72949,                0.93681,                      1,             0.00054955
                     91,                 1.1393,                0.69536,                0.95103,                      1,              0.0005446
                     92,                 1.0503,                0.66946,                0.96209,                      1,             0.00053965
                     93,                 1.0516,                0.65071,                0.97946,                      1,              0.0005347
                     94,                  1.074,                0.66444,                0.97156,                      1,             0.00052975
                     95,                 1.0554,                0.69025,                0.96524,                      1,              0.0005248
                     96,                 1.0427,                0.69585,                0.94629,                      1,             0.00051985
                     97,                 1.0283,                 0.6753,                0.95735,                      1,              0.0005149
                     98,                 1.0104,                0.71747,                0.96051,                0.99526,             0.00050995
                     99,                 1.0345,                0.67298,                0.97156,                0.99684,               0.000505
                    100,                 1.0414,                0.69733,                0.96682,                      1,             0.00050005
                    101,                 1.0592,                0.64849,                0.97946,                      1,              0.0004951
                    102,                 1.0066,                0.66881,                0.96367,                      1,             0.00049015
                    103,                  1.027,                 0.6351,                0.98736,                      1,              0.0004852
                    104,                 1.0338,                0.67275,                0.94945,                      1,             0.00048025
                    105,                 1.0453,                0.65555,                0.97946,                      1,              0.0004753
                    106,                 1.0127,                0.65242,                0.97156,                      1,             0.00047035
                    107,                 1.0433,                 0.6332,                0.97788,                      1,              0.0004654
                    108,                 1.0104,                0.62164,                 0.9921,                      1,             0.00046045
                    109,                0.99494,                0.61412,                0.99368,                      1,              0.0004555
                    110,                0.98343,                0.65051,                0.98104,                      1,             0.00045055
                    111,                0.97724,                0.63345,                0.97946,                      1,              0.0004456
                    112,                 0.9836,                0.62113,                 0.9921,                      1,             0.00044065
                    113,                0.95544,                0.62762,                0.98736,                0.99842,              0.0004357
                    114,                0.96843,                0.61136,                0.98894,                      1,             0.00043075
                    115,                0.97802,                0.61298,                0.98578,                      1,              0.0004258
                    116,                0.92617,                0.63734,                0.98262,                      1,             0.00042085
                    117,                0.96126,                0.60977,                0.99368,                      1,              0.0004159
                    118,                0.99005,                0.60322,                0.99526,                      1,             0.00041095
