                  epoch,             train/loss,               val/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,                   lr/0
                      0,                 2.1853,                 4.3324,                0.19976,                0.65348,              0.0009967
                      1,                 1.9917,                 1.7625,                0.46598,                0.88726,              0.0009934
                      2,                 1.9271,                 1.8302,                0.48813,                0.86907,              0.0009901
                      3,                 1.8823,                 1.7778,                0.46321,                0.88687,              0.0009868
                      4,                 1.7984,                 1.6243,                0.52809,                0.93315,              0.0009835
                      5,                 1.8101,                 1.5471,                0.56131,                0.93829,              0.0009802
                      6,                 1.7536,                 1.5051,                0.57358,                0.95055,              0.0009769
                      7,                 1.7302,                  1.733,                0.47666,                0.92524,              0.0009736
                      8,                 1.7468,                 1.5381,                0.56013,                0.93434,              0.0009703
                      9,                 1.7306,                  1.607,                 0.5182,                0.93671,               0.000967
                     10,                 1.7087,                  1.437,                0.59691,                0.97033,              0.0009637
                     11,                 1.7052,                 1.6124,                 0.5443,                0.92286,              0.0009604
                     12,                 1.7014,                 1.5579,                0.55657,                0.93869,              0.0009571
                     13,                 1.6724,                 1.3952,                0.62579,                0.96163,              0.0009538
                     14,                 1.6389,                 1.5958,                0.57041,                0.94264,              0.0009505
                     15,                 1.6637,                 1.6071,                0.53323,                0.93473,              0.0009472
                     16,                 1.6289,                 1.3577,                0.63964,                0.97271,              0.0009439
                     17,                 1.6338,                 1.5367,                0.54945,                 0.9553,              0.0009406
                     18,                 1.6283,                 1.3393,                0.63449,                0.98062,              0.0009373
                     19,                 1.6286,                 1.3693,                0.63528,                0.96994,               0.000934
                     20,                 1.6364,                 1.3153,                0.66653,                0.96796,              0.0009307
                     21,                 1.5898,                 1.3203,                 0.6428,                0.97191,              0.0009274
                     22,                 1.5999,                 1.5121,                0.57002,                0.94699,              0.0009241
                     23,                 1.5956,                 1.2979,                0.66574,                 0.9822,              0.0009208
                     24,                 1.5795,                 1.4216,                0.60997,                0.96519,              0.0009175
                     25,                 1.5871,                 1.3289,                0.64043,                0.98418,              0.0009142
                     26,                 1.5679,                 1.3916,                0.62777,                0.95253,              0.0009109
                     27,                 1.5738,                 1.3127,                0.65823,                0.97508,              0.0009076
                     28,                 1.5548,                 1.2735,                0.66851,                0.98457,              0.0009043
                     29,                 1.5467,                 1.3188,                0.64399,                0.97706,               0.000901
                     30,                 1.5204,                 1.2366,                0.70055,                0.98695,              0.0008977
                     31,                 1.5554,                 1.2332,                0.69264,                0.97666,              0.0008944
                     32,                 1.5059,                  1.254,                0.68354,                0.97983,              0.0008911
                     33,                 1.5286,                  1.249,                0.67642,                 0.9818,              0.0008878
                     34,                 1.5239,                 1.2143,                0.72152,                0.98655,              0.0008845
                     35,                 1.4998,                 1.2662,                0.67524,                0.98141,              0.0008812
                     36,                 1.4928,                 1.2191,                0.69937,                0.98536,              0.0008779
                     37,                 1.5345,                 1.2771,                 0.6879,                0.97745,              0.0008746
                     38,                 1.5353,                 1.4452,                0.63054,                0.95293,              0.0008713
                     39,                 1.4727,                 1.2093,                0.71638,                0.97468,               0.000868
                     40,                 1.4895,                  1.178,                0.73418,                0.98695,              0.0008647
                     41,                 1.4922,                 1.3137,                0.67168,                0.96203,              0.0008614
                     42,                 1.4746,                 1.2177,                0.71163,                0.97547,              0.0008581
                     43,                 1.4783,                 1.1661,                0.71756,                 0.9909,              0.0008548
                     44,                 1.4701,                 1.1484,                0.72824,                0.99051,              0.0008515
                     45,                 1.4511,                 1.2157,                0.70847,                0.98734,              0.0008482
                     46,                 1.4613,                 1.2009,                0.72112,                0.98774,              0.0008449
                     47,                 1.4398,                 1.1257,                0.75158,                0.99248,              0.0008416
                     48,                 1.4568,                  1.229,                0.70728,                0.97547,              0.0008383
                     49,                  1.454,                 1.1396,                0.73339,                0.98695,               0.000835
                     50,                 1.4181,                 1.2027,                0.71203,                0.98299,              0.0008317
                     51,                 1.4367,                 1.1031,                0.75356,                 0.9909,              0.0008284
                     52,                  1.407,                 1.1677,                0.74288,                0.98299,              0.0008251
                     53,                 1.4025,                 1.1024,                0.79114,                0.98774,              0.0008218
                     54,                 1.4013,                 1.0885,                0.75831,                0.99367,              0.0008185
                     55,                 1.4119,                 1.1401,                0.74446,                0.98022,              0.0008152
                     56,                 1.4375,                 1.1257,                0.74763,                 0.9909,              0.0008119
                     57,                 1.3961,                 1.0478,                0.78679,                0.99248,              0.0008086
                     58,                 1.3945,                 1.0503,                0.79114,                0.99407,              0.0008053
                     59,                 1.3967,                 1.0748,                0.77729,                0.99328,               0.000802
                     60,                 1.3645,                 1.1299,                0.74248,                0.99248,              0.0007987
                     61,                 1.3763,                 1.1299,                0.74763,                0.99051,              0.0007954
                     62,                 1.3591,                 1.0181,                0.81329,                0.99604,              0.0007921
                     63,                  1.346,                0.99691,                0.82081,                 0.9913,              0.0007888
                     64,                 1.3505,                 1.0612,                0.79391,                0.99169,              0.0007855
                     65,                 1.3462,                 1.0506,                0.78481,                0.98299,              0.0007822
                     66,                 1.3349,                 1.1135,                0.76503,                0.97824,              0.0007789
                     67,                 1.3707,                 1.0404,                0.79193,                0.99763,              0.0007756
                     68,                  1.344,                0.95376,                0.83584,                0.99407,              0.0007723
                     69,                 1.3009,                0.92365,                0.83584,                0.99565,               0.000769
                     70,                 1.3207,                 1.0716,                0.79549,                0.98497,              0.0007657
                     71,                  1.321,                0.96981,                0.85008,                0.99169,              0.0007624
                     72,                 1.3075,                0.94604,                0.83821,                0.99565,              0.0007591
                     73,                 1.2996,                0.99684,                0.81685,                0.99407,              0.0007558
                     74,                 1.2931,                 1.1364,                0.76187,                0.98497,              0.0007525
                     75,                 1.2723,                0.92328,                0.85127,                0.99367,              0.0007492
                     76,                 1.2905,                 0.9065,                0.85324,                0.99486,              0.0007459
                     77,                   1.27,                 1.0607,                0.79668,                0.98932,              0.0007426
                     78,                 1.2567,                0.88447,                0.88133,                0.99604,              0.0007393
                     79,                 1.3173,                0.95054,                0.83821,                0.99565,               0.000736
                     80,                 1.2597,                 0.9075,                0.85127,                0.99644,              0.0007327
                     81,                 1.2495,                0.88293,                0.89082,                0.99525,              0.0007294
                     82,                 1.2345,                0.90517,                0.84929,                0.99802,              0.0007261
                     83,                 1.2527,                0.81832,                0.91495,                 0.9996,              0.0007228
                     84,                 1.2308,                0.90731,                 0.8746,                0.99367,              0.0007195
                     85,                 1.2312,                0.86647,                0.89794,                0.99763,              0.0007162
                     86,                 1.2456,                0.86003,                0.88528,                0.99723,              0.0007129
                     87,                 1.2148,                0.87442,                0.87302,                0.99723,              0.0007096
                     88,                 1.2215,                0.81459,                0.89715,                0.99842,              0.0007063
                     89,                  1.224,                0.80226,                 0.9193,                0.99802,               0.000703
                     90,                 1.1725,                 0.8374,                0.90546,                0.99684,              0.0006997
                     91,                  1.165,                0.82159,                 0.9106,                0.99763,              0.0006964
                     92,                 1.1606,                0.80075,                0.90269,                 0.9996,              0.0006931
                     93,                 1.1799,                0.79738,                0.93038,                0.99723,              0.0006898
                     94,                 1.1622,                0.76022,                0.94027,                0.99763,              0.0006865
                     95,                 1.1492,                0.77636,                 0.9379,                0.99763,              0.0006832
                     96,                 1.1611,                0.81257,                0.92168,                0.99802,              0.0006799
                     97,                 1.1754,                0.75903,                0.93236,                 0.9996,              0.0006766
                     98,                 1.1377,                0.75419,                0.94343,                0.99842,              0.0006733
                     99,                 1.1436,                0.85237,                0.90546,                0.99407,                0.00067
                    100,                  1.132,                0.76192,                0.92524,                0.99842,              0.0006667
                    101,                 1.1251,                0.73206,                0.94146,                0.99842,              0.0006634
                    102,                 1.1235,                0.77107,                0.93631,                0.99921,              0.0006601
                    103,                 1.1169,                0.92828,                0.86867,                0.99525,              0.0006568
                    104,                 1.1103,                 0.7453,                0.95253,                0.99802,              0.0006535
                    105,                 1.0894,                0.71436,                0.95649,                0.99723,              0.0006502
                    106,                 1.0918,                0.69383,                0.96519,                0.99842,              0.0006469
                    107,                  1.099,                0.71233,                0.96361,                0.99842,              0.0006436
                    108,                 1.0851,                0.72912,                0.95134,                0.99763,              0.0006403
                    109,                 1.0874,                0.69005,                0.97429,                0.99842,               0.000637
                    110,                 1.0708,                0.68671,                0.97231,                0.99881,              0.0006337
                    111,                 1.0955,                0.66296,                0.98022,                0.99921,              0.0006304
                    112,                 1.0626,                0.69764,                0.96084,                0.99921,              0.0006271
                    113,                 1.0428,                0.68121,                0.97824,                0.99802,              0.0006238
                    114,                 1.0501,                0.69575,                0.96756,                 0.9996,              0.0006205
                    115,                 1.0833,                0.71729,                 0.9644,                0.99842,              0.0006172
                    116,                 1.0336,                0.68782,                0.96835,                0.99842,              0.0006139
                    117,                 1.0384,                0.68588,                0.97231,                 0.9996,              0.0006106
                    118,                 1.0264,                0.68064,                0.97666,                0.99881,              0.0006073
                    119,                 1.0212,                0.66738,                0.97983,                0.99802,               0.000604
                    120,                 1.0251,                0.67708,                0.97231,                0.99842,              0.0006007
                    121,                 1.0089,                0.69259,                0.97191,                0.99842,              0.0005974
                    122,                 1.0065,                0.67022,                0.97824,                0.99842,              0.0005941
                    123,                0.99618,                0.67995,                0.97785,                0.99842,              0.0005908
                    124,                 1.0001,                0.67351,                0.97547,                0.99842,              0.0005875
                    125,                0.97511,                0.68038,                0.97785,                0.99842,              0.0005842
                    126,                0.97837,                0.64154,                0.98616,                0.99881,              0.0005809
                    127,                 1.0032,                 0.6768,                0.97666,                0.99881,              0.0005776
                    128,                 1.0145,                0.64883,                0.98616,                0.99881,              0.0005743
                    129,                0.98636,                0.64815,                0.98655,                0.99881,               0.000571
                    130,                0.98229,                0.66385,                0.98141,                0.99842,              0.0005677
                    131,                0.97336,                0.63471,                0.98774,                0.99842,              0.0005644
                    132,                0.99645,                0.63435,                 0.9913,                0.99842,              0.0005611
                    133,                0.96624,                0.64684,                0.98576,                0.99842,              0.0005578
                    134,                0.95439,                0.63731,                0.99051,                0.99842,              0.0005545
                    135,                0.95975,                0.63736,                0.98972,                0.99842,              0.0005512
                    136,                0.94341,                0.63281,                0.98853,                0.99842,              0.0005479
                    137,                0.94391,                0.62785,                0.98774,                0.99842,              0.0005446
                    138,                0.92614,                0.63628,                0.98774,                0.99842,              0.0005413
                    139,                0.94889,                 0.6146,                0.99525,                0.99881,               0.000538
                    140,                0.92666,                 0.6405,                0.98774,                0.99881,              0.0005347
                    141,                0.93075,                0.61523,                0.99486,                0.99881,              0.0005314
                    142,                0.91609,                0.62438,                0.99209,                0.99842,              0.0005281
                    143,                0.93995,                0.63818,                0.98655,                0.99842,              0.0005248
                    144,                0.94769,                 0.6246,                0.99288,                0.99842,              0.0005215
                    145,                0.94139,                0.61551,                0.99407,                0.99921,              0.0005182
                    146,                0.91117,                0.61098,                0.99565,                0.99842,              0.0005149
                    147,                0.89294,                0.63347,                 0.9909,                0.99842,              0.0005116
                    148,                 0.8747,                0.61755,                0.99328,                0.99842,              0.0005083
                    149,                0.88266,                0.61099,                0.99486,                0.99842,               0.000505
                    150,                0.90818,                0.61255,                0.99565,                0.99842,              0.0005017
                    151,                0.90126,                0.61153,                0.99248,                0.99881,              0.0004984
                    152,                0.89835,                0.60767,                0.99644,                0.99842,              0.0004951
                    153,                0.89107,                0.60862,                0.99644,                0.99842,              0.0004918
                    154,                0.92565,                 0.6045,                0.99604,                0.99881,              0.0004885
                    155,                0.87555,                0.61244,                0.99525,                0.99842,              0.0004852
                    156,                0.86488,                0.60443,                0.99644,                0.99881,              0.0004819
                    157,                0.86001,                0.61545,                0.99486,                0.99842,              0.0004786
                    158,                0.86504,                0.60456,                0.99604,                0.99842,              0.0004753
                    159,                0.84669,                0.59767,                0.99644,                0.99842,               0.000472
                    160,                0.85776,                0.60853,                0.99684,                0.99842,              0.0004687
                    161,                0.87445,                0.60769,                0.99644,                0.99842,              0.0004654
                    162,                 0.8453,                  0.599,                0.99604,                0.99842,              0.0004621
                    163,                0.85794,                 0.5911,                0.99763,                0.99842,              0.0004588
                    164,                0.86834,                0.59061,                0.99723,                0.99881,              0.0004555
                    165,                0.86061,                0.59121,                0.99763,                0.99881,              0.0004522
                    166,                0.87547,                0.59756,                0.99763,                0.99842,              0.0004489
                    167,                0.84937,                0.60812,                0.99604,                0.99842,              0.0004456
                    168,                 0.8356,                0.60926,                0.99723,                0.99842,              0.0004423
                    169,                0.84321,                0.60112,                0.99802,                0.99842,               0.000439
                    170,                0.84608,                0.59665,                0.99644,                0.99881,              0.0004357
                    171,                0.82951,                0.59668,                0.99644,                0.99842,              0.0004324
                    172,                0.82772,                0.59167,                0.99723,                0.99842,              0.0004291
                    173,                0.80608,                0.58883,                0.99723,                0.99842,              0.0004258
                    174,                0.83678,                0.58952,                0.99723,                0.99842,              0.0004225
                    175,                0.85119,                0.59115,                0.99802,                0.99842,              0.0004192
                    176,                0.84712,                0.58459,                0.99842,                0.99842,              0.0004159
                    177,                 0.8369,                0.58301,                0.99842,                0.99842,              0.0004126
                    178,                0.84116,                0.58342,                0.99842,                0.99842,              0.0004093
                    179,                 0.8262,                0.58472,                0.99723,                0.99881,               0.000406
                    180,                0.79825,                0.59115,                0.99763,                0.99842,              0.0004027
                    181,                 0.8009,                0.58551,                0.99802,                0.99842,              0.0003994
